"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05654 0.0437 0.0437
0.05664 0.0551 0.0551
0.05674 0.0341 0.0341
0.05684 0.0437 0.0437
0.05694 0.0533 0.0533
0.05704 0.0593 0.0593
0.05714 0.0581 0.0581
0.05724 0.0521 0.0521
0.05734 0.0473 0.0473
0.05744 0.0443 0.0443
0.05754 0.0371 0.0371
0.05764 0.0341 0.0341
0.05774 0.0353 0.0353
0.05784 0.0347 0.0347
0.05793 0.0467 0.0467
0.05803 0.0455 0.0455
0.05813 0.0509 0.0509
0.05823 0.0527 0.0527
0.05833 0.0611 0.0611
0.05843 0.0533 0.0533
0.05853 0.0515 0.0515
0.05863 0.0521 0.0521
0.05873 0.0515 0.0515
0.05883 0.0509 0.0509
0.05893 0.0515 0.0515
0.05903 0.0515 0.0515
0.05913 0.0515 0.0515
0.05923 0.0503 0.0503
0.05933 0.0497 0.0497
0.05943 0.0509 0.0509
0.05953 0.0515 0.0515
0.05963 0.0521 0.0521
0.05973 0.0503 0.0503
0.05983 0.0521 0.0521
0.05993 0.0515 0.0515
0.06003 0.0515 0.0515
0.06012 0.0521 0.0521
0.06022 0.0515 0.0515
0.06032 0.0515 0.0515
0.06042 0.0509 0.0509
0.06052 0.0515 0.0515
0.06062 0.0521 0.0521
0.06072 0.0515 0.0515
0.06082 0.0533 0.0533
0.06092 0.0503 0.0503
0.06102 0.0539 0.0539
0.06112 0.0617 0.0617
0.06122 0.0587 0.0587
0.06132 0.0575 0.0575
0.06142 0.0545 0.0545
0.06152 0.0545 0.0545
0.06162 0.0431 0.0431
0.06172 0.0587 0.0587
0.06182 0.0563 0.0563
0.06192 0.0575 0.0575
0.06202 0.0599 0.0599
0.06212 0.0587 0.0587
0.06222 0.0485 0.0485
0.06231 0.0593 0.0593
0.06241 0.0653 0.0653
0.06251 0.0701 0.0701
0.06261 0.0695 0.0695
0.06271 0.0695 0.0695
0.06281 0.0605 0.0605
0.06291 0.0683 0.0683
0.06301 0.0719 0.0719
0.06311 0.0569 0.0569
0.06321 0.0587 0.0587
0.06331 0.0605 0.0605
0.06341 0.0629 0.0629
0.06351 0.0629 0.0629
0.06361 0.0647 0.0647
0.06371 0.0665 0.0665
0.06381 0.0521 0.0521
0.06391 0.0587 0.0587
0.06401 0.0653 0.0653
0.06411 0.0790 0.0790
0.06421 0.0659 0.0659
0.06431 0.0677 0.0677
0.06441 0.0611 0.0611
0.06450 0.0689 0.0689
0.06460 0.0629 0.0629
0.06470 0.0730 0.0730
0.06480 0.0790 0.0790
0.06490 0.0790 0.0790
0.06500 0.0832 0.0832
0.06510 0.0784 0.0784
0.06520 0.0724 0.0724
0.06530 0.0623 0.0623
0.06540 0.0724 0.0724
0.06550 0.0653 0.0653
0.06560 0.0719 0.0719
0.06570 0.0772 0.0772
0.06580 0.0743 0.0743
0.06590 0.0766 0.0766
0.06600 0.0701 0.0701
0.06610 0.0736 0.0736
0.06620 0.0766 0.0766
0.06630 0.0683 0.0683
0.06640 0.0760 0.0760
0.06650 0.0689 0.0689
0.06660 0.0689 0.0689
0.06669 0.0748 0.0748
0.06679 0.0832 0.0832
0.06689 0.0587 0.0587
0.06699 0.0886 0.0886
0.06709 0.0689 0.0689
0.06719 0.0707 0.0707
0.06729 0.0790 0.0790
0.06739 0.0760 0.0760
0.06749 0.0820 0.0820
0.06759 0.0832 0.0832
0.06769 0.0820 0.0820
0.06779 0.0826 0.0826
0.06789 0.0826 0.0826
0.06799 0.0826 0.0826
0.06809 0.0844 0.0844
0.06819 0.0862 0.0862
0.06829 0.0832 0.0832
0.06839 0.0802 0.0802
0.06849 0.0749 0.0749
0.06859 0.0683 0.0683
0.06869 0.0689 0.0689
0.06879 0.0814 0.0814
0.06888 0.0784 0.0784
0.06898 0.0820 0.0820
0.06908 0.0760 0.0760
0.06918 0.0880 0.0880
0.06928 0.0587 0.0587
0.06938 0.0784 0.0784
0.06948 0.0820 0.0820
0.06958 0.0892 0.0892
0.06968 0.0754 0.0754
0.06978 0.0760 0.0760
0.06988 0.0796 0.0796
0.06998 0.0760 0.0760
0.07008 0.0766 0.0766
0.07018 0.0766 0.0766
0.07028 0.0784 0.0784
0.07038 0.0766 0.0766
0.07048 0.0754 0.0754
0.07058 0.0760 0.0760
0.07068 0.0760 0.0760
0.07078 0.0754 0.0754
0.07088 0.0778 0.0778
0.07098 0.0772 0.0772
0.07107 0.0749 0.0749
0.07117 0.0784 0.0784
0.07127 0.0772 0.0772
0.07137 0.0760 0.0760
0.07147 0.0766 0.0766
0.07157 0.0760 0.0760
0.07167 0.0754 0.0754
0.07177 0.0760 0.0760
0.07187 0.0766 0.0766
0.07197 0.0772 0.0772
0.07207 0.0760 0.0760
0.07217 0.0766 0.0766
0.07227 0.0760 0.0760
0.07237 0.0778 0.0778
0.07247 0.0778 0.0778
0.07257 0.0766 0.0766
0.07267 0.0820 0.0820
0.07277 0.0838 0.0838
0.07287 0.0808 0.0808
0.07297 0.0892 0.0892
0.07307 0.0910 0.0910
0.07317 0.0916 0.0916
0.07326 0.0922 0.0922
0.07336 0.0910 0.0910
0.07346 0.0838 0.0838
0.07356 0.0808 0.0808
0.07366 0.0880 0.0880
0.07376 0.0844 0.0844
0.07386 0.0850 0.0850
0.07396 0.0832 0.0832
0.07406 0.0802 0.0802
0.07416 0.0659 0.0659
0.07426 0.0653 0.0653
0.07436 0.0659 0.0659
0.07446 0.0850 0.0850
0.07456 0.0988 0.0988
0.07466 0.0922 0.0922
0.07476 0.0928 0.0928
0.07486 0.0970 0.0970
0.07496 0.0904 0.0904
0.07506 0.0850 0.0850
0.07516 0.0862 0.0862
0.07526 0.0850 0.0850
0.07536 0.0856 0.0856
0.07545 0.0868 0.0868
0.07555 0.0856 0.0856
0.07565 0.0856 0.0856
0.07575 0.0850 0.0850
0.07585 0.0856 0.0856
0.07595 0.0856 0.0856
0.07605 0.0880 0.0880
0.07615 0.0862 0.0862
0.07625 0.0916 0.0916
0.07635 0.1000 0.1000
0.07645 0.1054 0.1054
0.07655 0.0970 0.0970
0.07665 0.0880 0.0880
0.07675 0.0964 0.0964
0.07685 0.1048 0.1048
0.07695 0.0958 0.0958
0.07705 0.1060 0.1060
0.07715 0.1018 0.1018
0.07725 0.1000 0.1000
0.07735 0.1084 0.1084
0.07745 0.1006 0.1006
0.07754 0.0928 0.0928
0.07764 0.0868 0.0868
0.07774 0.1006 0.1006
0.07784 0.1114 0.1114
0.07794 0.0994 0.0994
0.07804 0.0383 0.0383
0.07814 0.0359 0.0359
0.07824 0.1048 0.1048
0.07834 0.0874 0.0874
0.07844 0.1090 0.1090
0.07854 0.0964 0.0964
0.07864 0.1018 0.1018
0.07874 0.1006 0.1006
0.07884 0.1060 0.1060
0.07894 0.1144 0.1144
0.07904 0.1006 0.1006
0.07914 0.0940 0.0940
0.07924 0.0701 0.0701
0.07934 0.0623 0.0623
0.07944 0.0575 0.0575
0.07954 0.1054 0.1054
0.07964 0.0988 0.0988
0.07973 0.0665 0.0665
0.07983 0.1174 0.1174
0.07993 0.1012 0.1012
0.08003 0.0814 0.0814
0.08013 0.1204 0.1204
0.08023 0.1245 0.1245
0.08033 0.0653 0.0653
0.08043 0.0928 0.0928
0.08053 0.1126 0.1126
0.08063 0.0862 0.0862
0.08073 0.0742 0.0742
0.08083 0.0677 0.0677
0.08093 0.0719 0.0719
0.08103 0.0736 0.0736
0.08113 0.0743 0.0743
0.08123 0.0713 0.0713
0.08133 0.0689 0.0689
