alpha,beta_logGenLength,beta_diet_VertFishScav,residual_sd
-0.057475157541833286,-0.6415975103651205,0.23288267792213552,0.2902961922317353
-0.11830772048447066,-0.461238033374346,0.23998534409528494,0.27604185843718676
-0.08228582133078104,-0.6166239074302274,0.3967208610228995,0.2903130922089308
-0.08002500788800015,-0.5957110684272655,0.1806759514899301,0.27508114966969166
-0.16942124747555481,-0.48719917719023176,0.2395507458427492,0.29357876684804535
-0.05691799831435952,-0.5901520852944083,0.27122470913735,0.2959200843089032
-0.11311267340884087,-0.5148674114261527,0.15192356976937552,0.26508146809693456
-0.12323265107436067,-0.4780594786129755,0.14337156069899304,0.26176851918042143
-0.0890979590382045,-0.5739933357165028,0.2057957489443657,0.2981003638452428
-0.1062160821778709,-0.5057570159858532,0.1484456028631018,0.27127048525177183
-0.1240573543854183,-0.5346228517851909,0.30171104498892826,0.28103729927796206
-0.026925608999689273,-0.7065520357340197,0.22786036189149328,0.2568468068032183
-0.12352931540260562,-0.5483081842115276,0.20298532756767101,0.30847207091851325
-0.140965229003763,-0.5263651254571805,0.27141666259748637,0.27187211719840804
-0.18676196154206898,-0.3968947182159022,0.1543648787054823,0.2785455504322957
-0.08329301999996652,-0.5669745076410083,0.10531408972575257,0.29092805773390273
-0.07203494161293769,-0.6092096744769185,0.22690752595003288,0.2940341587015548
-0.16570838089257,-0.4545126614042266,0.13365814234260032,0.319269926748491
-0.15323322527609531,-0.5426819006246782,0.27129671824577545,0.26845322212660055
-0.07712098181041008,-0.5498634206034122,0.11792290776328668,0.2757277703046559
-0.0976652873270086,-0.6443103157110641,0.3143884418183702,0.2778450995817707
