"number" "dsum" "count" "missing" "quant_error" "fname"
149 1.42426e+06 1424264 11735494 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Newtonia_brunneicauda.tif"
150 1136.0 1136 13158622 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Newtonia_fanovanae.tif"
151 158990. 158990 13000768 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Oriolia_bernieri.tif"
152 735175. 735175 12424583 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Oryzorictes_hova.tif"
153 118763. 118763 13040995 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Oryzorictes_tetradactylus.tif"
154 1.12956e+06 1129563 12030195 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Otus_rutilus.tif"
155 596383. 596383 12563375 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Oxylabes_madagascariensis.tif"
156 188.0 188 13159570 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Phaner_electromontis.tif"
157 9866.0 9866 13149892 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Phaner_furcifer.tif"
158 29577.0 29577 13130181 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Phaner_pallescens.tif"
159 265.0 265 13159493 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Phaner_parienti.tif"
160 421737. 421737 12738021 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Philepitta_castanea.tif"
161 47305.0 47305 13112453 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Philepitta_schlegeli.tif"
162 690328. 690328 12469430 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Ploceus_nelicourvi.tif"
163 514356. 514356 12645402 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Ploceus_sakalava.tif"
164 1.41426e+06 1414261 11745497 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Polyboroides_radiatus.tif"
165 464442. 464442 12695316 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Pseudobias_wardi.tif"
166 79617.0 79617 13080141 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Pterocles_personatus.tif"
167 161388. 161388 12998370 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Rallus_madagascariensis.tif"
168 518063. 518063 12641695 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Randia_pseudozosterops.tif"
169 53395.0 53395 13106363 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Riparia_cowani.tif"
170 856541. 856541 12303217 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Sarothrura_insularis.tif"
171 332586. 332586 12827172 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Schetba_rufa.tif"
172 1.35612e+06 1356120 11803638 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Setifer_setosus.tif"
173 1.48066e+06 1480660 11679098 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Tenrec_ecaudatus.tif"
174 39071.0 39071 13120687 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Thamnornis_chloropetoides.tif"
175 1.20723e+06 1207229 11952529 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Treron_australis.tif"
176 1.54051e+06 1540509 11619249 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Turnix_nigricollis.tif"
177 657994. 657994 12501764 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Tylas_eduardi.tif"
178 1.23173e+06 1231729 11928029 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Upupa_marginata.tif"
179 1.34713e+06 1347134 11812624 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Vanga_curvirostris.tif"
180 84937.0 84937 13074821 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Varecia_rubra.tif"
181 813479. 813479 12346279 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Varecia_variegata.tif"
182 780.0 780 13158978 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Xanthomixis_apperti.tif"
183 195490. 195490 12964268 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Xanthomixis_cinereiceps.tif"
184 702655. 702655 12457103 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Xanthomixis_zosterops.tif"
185 1024.0 1024 13158734 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Xenopirostris_damii.tif"
186 197577. 197577 12962181 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Xenopirostris_polleni.tif"
187 12639.0 12639 13147119 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Xenopirostris_xenopirostris.tif"
