[2026-08-18T06:40:54.193Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=108/188 species="Microcebus murinus" occupied_cells=1101143 patches=32823 elapsed_seconds=1.17
[2026-08-18T06:40:55.237Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=109/188 species="Microcebus myoxinus" occupied_cells=12424 patches=371 elapsed_seconds=1.04
[2026-08-18T06:40:56.415Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=110/188 species="Microcebus ravelobensis" occupied_cells=2704 patches=75 elapsed_seconds=1.18
[2026-08-18T06:40:57.528Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=111/188 species="Microcebus rufus" occupied_cells=746939 patches=8816 elapsed_seconds=1.11
[2026-08-18T06:40:58.696Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=112/188 species="Microcebus tavaratra" occupied_cells=7291 patches=265 elapsed_seconds=1.17
[2026-08-18T06:40:59.779Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=113/188 species="Microgale brevicaudata" occupied_cells=360340 patches=5488 elapsed_seconds=1.08
[2026-08-18T06:41:00.990Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=114/188 species="Microgale cowani" occupied_cells=650140 patches=11438 elapsed_seconds=1.21
[2026-08-18T06:41:02.169Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=115/188 species="Microgale drouhardi" occupied_cells=297990 patches=2459 elapsed_seconds=1.18
[2026-08-18T06:41:03.214Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=116/188 species="Microgale dryas" occupied_cells=15197 patches=174 elapsed_seconds=1.05
[2026-08-18T06:41:04.473Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=117/188 species="Microgale fotsifotsy" occupied_cells=347644 patches=3088 elapsed_seconds=1.26
[2026-08-18T06:41:05.528Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=118/188 species="Microgale gracilis" occupied_cells=107064 patches=1384 elapsed_seconds=1.05
[2026-08-18T06:41:06.775Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=119/188 species="Microgale gymnorhyncha" occupied_cells=219162 patches=3300 elapsed_seconds=1.25
